
"Banco de México"

"Balanza de pagos"
"Exportaciones de mercancías por países"

"Fecha de consulta: 23/04/2021 11:50:27"

""

"Título","Exportación total (Incluye maquila), Total, Africa","Exportación total (Incluye maquila), Total, América","Exportación total (Incluye maquila), Total, América, América del Norte, Canadá","Exportación total (Incluye maquila), Total, América, América del Norte, Estados Unidos","Exportación total (Incluye maquila), Total, América, América del Sur","Exportación total (Incluye maquila), Total, América, América del Sur, Argentina","Exportación total (Incluye maquila), Total, América, América del Sur, Brasil","Exportación total (Incluye maquila), Total, América, América del Sur, Chile","Exportación total (Incluye maquila), Total, América, América del Sur, Colombia","Exportación total (Incluye maquila), Total, América, América del Sur, Perú","Exportación total (Incluye maquila), Total, América, América del Sur, Venezuela","Exportación total (Incluye maquila), Total, América, Antillas","Exportación total (Incluye maquila), Total, América, Centroamérica","Exportación total (Incluye maquila), Total, América, Centroamérica, Costa Rica","Exportación total (Incluye maquila), Total, América, Centroamérica, El Salvador","Exportación total (Incluye maquila), Total, América, Centroamérica, Guatemala","Exportación total (Incluye maquila), Total, América, Centroamérica, Panamá","Exportación total (Incluye maquila), Total, Asia","Exportación total (Incluye maquila), Total, Asia, China","Exportación total (Incluye maquila), Total, Asia, Filipinas","Exportación total (Incluye maquila), Total, Asia, Hong Kong","Exportación total (Incluye maquila), Total, Asia, Indonesia","Exportación total (Incluye maquila), Total, Asia, Japón","Exportación total (Incluye maquila), Total, Asia, Malasia","Exportación total (Incluye maquila), Total, Asia, Singapur","Exportación total (Incluye maquila), Total, Asia, Tailandia","Exportación total (Incluye maquila), Total, Asia, Taiwán","Exportación total (Incluye maquila), Total, Asia, India","Exportación total (Incluye maquila), Total, Asia, Israel","Exportación total (Incluye maquila), Total, Europa","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Alemania","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Bélgica","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Dinamarca","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, España","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Francia","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Italia","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Países Bajos","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Portugal","Exportaciones totales, Total, Europa, Otros países Europeos, Reino Unido","Exportación total (Incluye maquila), Total, Oceanía","Exportación total (Incluye maquila), Total, Oceanía, Australia","Exportación total (Incluye maquila), Total, Oceanía, Nueva Zelandia","Exportación total (Incluye maquila), Total, América, América del Norte","Exportación total (Incluye maquila), Total, América, Centroamérica, Otros países de Centroamérica","Exportación total (Incluye maquila), Total, América, América del Sur, Otros países de América del Sur","Exportación total (Incluye maquila), Total, Europa, Unión Europea 2/, Otros países de la Unión Europea","Exportación total (Incluye maquila), Total, Europa, Unión Europea con Reino Unido 1/","Exportación total (Incluye maquila), Total, Europa, Otros países Europeos","Exportación total (Incluye maquila), Total, Asia, Corea","Exportación total (Incluye maquila), Total, Asia, Otros países de Asia","Exportación total (Incluye maquila), Total, Oceanía, Otros países de Oceanía","Exportación total (Incluye maquila), Total, No Identificados","Exportación total (Incluye maquila), Total"
01/09/1994,1883.0,4648537.0,95861.0,4278918.0,134726.0,20003.0,35812.0,18016.0,23406.0,10614.0,12861.0,68093.0,70938.0,9796.0,8233.0,17439.0,11286.0,124661.0,9285.0,404.0,25740.0,753.0,64079.0,539.0,6168.0,1048.0,1604.0,3452.0,275.0,251691.0,27510.0,33714.0,2829.0,88047.0,38384.0,5100.0,14899.0,309.0,20859.0,8291.0,4677.0,1344.0,4374780.0,24184.0,14014.0,4855.0,236506.0,36044.0,2712.0,8602.0,2270.0,52.0,5035115.0
01/10/1994,1313.0,5130159.0,56462.0,4784030.0,129448.0,15998.0,32746.0,14919.0,27638.0,9629.0,14526.0,75228.0,84990.0,7579.0,37620.0,19975.0,11419.0,159099.0,8306.0,524.0,35185.0,225.0,93656.0,374.0,6531.0,1011.0,1601.0,695.0,154.0,259232.0,31356.0,26973.0,2674.0,87579.0,38921.0,5478.0,11206.0,966.0,31832.0,5793.0,4585.0,1145.0,4840493.0,8397.0,13992.0,7159.0,244144.0,46920.0,4481.0,6356.0,63.0,54.0,5555650.0
01/11/1994,1698.0,5640072.0,60938.0,5285737.0,164881.0,22862.0,52186.0,15760.0,26116.0,12499.0,18532.0,69486.0,59029.0,9314.0,9774.0,18903.0,12571.0,148995.0,564.0,477.0,18658.0,207.0,106262.0,304.0,5119.0,523.0,738.0,437.0,138.0,308292.0,31239.0,40990.0,1638.0,81348.0,41574.0,17020.0,10266.0,15121.0,27744.0,9239.0,4942.0,1074.0,5346676.0,8467.0,16926.0,23689.0,290629.0,45407.0,4634.0,10934.0,3223.0,52.0,6108348.0
01/12/1994,1770.0,4911076.0,147236.0,4454722.0,163891.0,21898.0,47737.0,18436.0,31484.0,11302.0,15047.0,90645.0,54581.0,6804.0,9731.0,18221.0,10756.0,105565.0,544.0,1421.0,17877.0,171.0,63822.0,538.0,8433.0,232.0,1757.0,573.0,82.0,287808.0,36772.0,15661.0,924.0,94398.0,48534.0,9568.0,9254.0,848.0,29894.0,4124.0,4012.0,59.0,4601959.0,9069.0,17987.0,25552.0,271405.0,46297.0,2729.0,7386.0,53.0,44.0,5310387.0
01/01/1995,2099.0,5518348.0,140179.0,5046115.0,167988.0,25032.0,59886.0,19548.0,21979.0,10192.0,14809.0,108433.0,55632.0,7648.0,11303.0,18218.0,10601.0,127017.0,2678.0,223.0,26389.0,2896.0,75754.0,1904.0,5166.0,927.0,1527.0,323.0,168.0,280962.0,27489.0,39183.0,861.0,74285.0,47076.0,17043.0,8747.0,1319.0,35969.0,3588.0,3361.0,174.0,5186295.0,7862.0,16542.0,2894.0,254866.0,62065.0,2671.0,6391.0,53.0,377.0,5932391.0
01/02/1995,2581.0,5645604.0,167128.0,5132696.0,182099.0,24641.0,53584.0,25224.0,31108.0,13759.0,17791.0,105993.0,57687.0,8208.0,9543.0,19848.0,11259.0,137125.0,1443.0,282.0,25465.0,3945.0,69274.0,646.0,11986.0,7469.0,3065.0,657.0,442.0,274560.0,25166.0,45785.0,316.0,62518.0,36991.0,5212.0,14141.0,16832.0,27748.0,6280.0,5071.0,1176.0,5299825.0,8829.0,15992.0,6768.0,241477.0,60831.0,4892.0,7559.0,33.0,45.0,6066195.0
01/03/1995,4960.0,6233981.0,191282.0,5599239.0,245899.0,32228.0,86959.0,28902.0,38615.0,14762.0,24227.0,97741.0,99820.0,12391.0,10422.0,28125.0,38520.0,196658.0,4082.0,479.0,54565.0,291.0,93690.0,593.0,19232.0,613.0,2096.0,6514.0,553.0,344687.0,31362.0,38913.0,500.0,85213.0,50213.0,15653.0,11942.0,2292.0,44480.0,7807.0,4683.0,449.0,5790521.0,10362.0,20206.0,9333.0,289901.0,99266.0,6452.0,7498.0,2675.0,60.0,6788153.0
01/04/1995,4955.0,5403023.0,160787.0,4809322.0,273775.0,23266.0,105325.0,48762.0,36293.0,17741.0,22468.0,97050.0,62089.0,8368.0,10406.0,19047.0,15156.0,137245.0,461.0,446.0,36975.0,1221.0,66999.0,2295.0,13812.0,438.0,2167.0,2102.0,1465.0,315261.0,35988.0,36961.0,634.0,87302.0,38493.0,9049.0,11669.0,2566.0,33441.0,3973.0,3673.0,285.0,4970109.0,9112.0,19920.0,7086.0,263189.0,85513.0,3325.0,5539.0,15.0,73.0,5864530.0
01/05/1995,4819.0,6489182.0,224859.0,5753749.0,299341.0,36723.0,95540.0,59966.0,41301.0,14221.0,30846.0,123947.0,87285.0,15808.0,13978.0,27422.0,17675.0,190835.0,479.0,771.0,41908.0,1099.0,112891.0,2444.0,15158.0,1268.0,3376.0,718.0,408.0,337144.0,50943.0,38524.0,466.0,52952.0,45939.0,12208.0,8883.0,16928.0,41051.0,5805.0,5421.0,163.0,5978609.0,12402.0,20744.0,8476.0,276370.0,101825.0,3710.0,6605.0,221.0,54.0,7027839.0
01/06/1995,2861.0,6153044.0,211183.0,5457944.0,267255.0,29636.0,74166.0,53274.0,42865.0,14294.0,32746.0,121197.0,95465.0,12067.0,19220.0,28516.0,23436.0,195911.0,1272.0,639.0,53951.0,225.0,85165.0,1508.0,17985.0,447.0,3752.0,1367.0,1767.0,382435.0,41054.0,52477.0,314.0,66514.0,41403.0,14495.0,17122.0,1771.0,54021.0,4784.0,4496.0,193.0,5669127.0,12226.0,20274.0,12127.0,301298.0,135158.0,5010.0,22823.0,95.0,57.0,6739092.0
