
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio promedio del periodo"

"Fecha de consulta: 23/04/2021 09:53:26"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación Cotizaciones promedio"
"Tipo de información","Niveles"
"Fecha","SF329"
01/04/2012,13.0512
01/05/2012,13.5556
01/06/2012,13.9820
01/07/2012,13.3894
01/08/2012,13.1790
01/09/2012,12.9871
01/10/2012,12.8728
01/11/2012,13.0872
01/12/2012,12.8670
01/01/2013,12.7219
01/02/2013,12.7144
01/03/2013,12.5745
01/04/2013,12.2249
01/05/2013,12.2522
01/06/2013,12.9361
01/07/2013,12.7851
01/08/2013,12.8704
01/09/2013,13.0925
01/10/2013,13.0187
01/11/2013,13.0634
01/12/2013,13.0098
01/01/2014,13.1981
01/02/2014,13.2888
01/03/2014,13.2154
01/04/2014,13.0681
01/05/2014,12.9479
01/06/2014,12.9832
01/07/2014,12.9734
01/08/2014,13.1490
01/09/2014,13.2002
01/10/2014,13.4768
01/11/2014,13.5819
01/12/2014,14.4266
01/01/2015,14.6757
01/02/2015,14.9167
01/03/2015,15.2003
01/04/2015,15.2228
01/05/2015,15.2555
01/06/2015,15.4562
01/07/2015,15.8881
01/08/2015,16.4880
01/09/2015,16.8372
01/10/2015,16.6020
01/11/2015,16.6348
01/12/2015,17.0019
01/01/2016,17.9780
01/02/2016,18.4837
01/03/2016,17.7383
01/04/2016,17.4924
01/05/2016,18.0405
01/06/2016,18.6471
01/07/2016,18.5699
01/08/2016,18.4760
01/09/2016,19.1386
01/10/2016,18.9480
01/11/2016,19.9425
01/12/2016,20.5137
01/01/2017,21.3732
01/02/2017,20.3812
01/03/2017,19.4067
01/04/2017,18.7584
01/05/2017,18.7862
01/06/2017,18.1901
01/07/2017,17.8513
01/08/2017,17.8078
01/09/2017,17.7991
01/10/2017,18.7247
01/11/2017,18.9770
01/12/2017,19.0625
01/01/2018,19.0025
01/02/2018,18.6282
01/03/2018,18.6839
01/04/2018,18.3464
01/05/2018,19.4894
01/06/2018,20.3105
01/07/2018,19.1171
01/08/2018,18.8089
01/09/2018,19.0539
01/10/2018,19.0638
01/11/2018,20.2500
01/12/2018,20.1775
01/01/2019,19.2154
01/02/2019,19.1902
01/03/2019,19.2339
01/04/2019,19.0231
01/05/2019,19.0883
01/06/2019,19.2912
01/07/2019,19.0669
01/08/2019,19.5896
01/09/2019,19.6242
01/10/2019,19.3701
01/11/2019,19.2931
01/12/2019,19.1776
01/01/2020,18.8060
01/02/2020,18.7664
01/03/2020,21.9690
01/04/2020,24.2579
01/05/2020,23.6004
01/06/2020,22.2153
01/07/2020,22.4836
01/08/2020,22.2370
01/09/2020,21.6450
01/10/2020,21.3558
01/11/2020,20.5088
01/12/2020,19.9821
01/01/2021,19.8889
01/02/2021,20.2415
01/03/2021,20.7895

